volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
njp.32101067628436,rev,known,1856,1813,m,uk,34606,0.426926213929,"Aytoun, William Edmondstoune,",Bothwell,WR,reviewed,1
wu.89098029051,not,obscure,1886,1839,f,us,24996,0.437004542043,"Henry, S. M. I.",The marble cross,,random,0
loc.ark+=13960=t0wq0dz13,not,obscure,1872,0,m,us,16251,0.407115833099,"Armstrong, J. A.",Harvest,,random,0
uc2.ark+=13960=t8gf0nw9p,rev,obscure,1871,1837,m,uk,61986,0.382409907373,"McHenry, George.",Time and eternity,ATL,reviewed,1
njp.32101051387882,not,obscure,1856,0,,uk,9161,0.400669981262,"Charlesworth, E. G.",Poems,,random,0
uc2.ark+=13960=t7pn9f10q,rev,known,1874,1803,m,uk,42215,0.534142350084,"Lytton, Edward Robert Bulwer Lytton,",Fables in song,FR,reviewed,1
uc2.ark+=13960=t1hh6hq8n,not,obscure,1825,1799,m,uk,34237,0.441688184185,"Hervey, Thomas Kibble,",The poetical sketch-book,,random,0
hardywessexpoems1898,addedbecausecanon,known,1898,1840,m,uk,15001,0.526507826979,"Hardy, Thomas",Wessex Poems,,"Norton, added",0
njp.32101025285659,rev,known,1862,1819,m,uk,40898,0.546788038316,"Clough, Arthur Hugh,",Poems,BM,reviewed,1
uc1.b4101575,rev,known,1915,1885,m,us,14720,0.609367595547,"Percy, William Alexander,",Sappho in Levkas,PMV,reviewed,1
dul1.ark+=13960=t75t4h116,rev,known,1867,1822,m,uk,30155,0.546026461282,"Arnold, Matthew,",New poems,FR,"Norton, in-set",1
njp.32101068176328,rev,known,1868,1820,f,us,19728,0.694855400801,"Cary, Alice,",A lover's diary,ATL,reviewed,1
uc1.b182449,rev,known,1877,1840,m,uk,20454,0.522611604602,"Dobson, Austin,","Proverbs in porcelain, and other verses",COR,reviewed,1
uc2.ark+=13960=t9w08xj0q,rev,known,1884,1861,f,us,10314,0.531481609802,"Guiney, Louise Imogen,",Songs at the start,ATL,reviewed,1
njp.32101073982710,rev,known,1853,1806,f,uk,78657,0.596180352813,"Browning, Elizabeth Barrett,",Poems,WR,"Norton, in-set",1
uc2.ark+=13960=t1bk19943,not,obscure,1840,0,m,uk,31206,0.395919206658,"Landreth, Peter.",The poet: The infidel,,random,0
uc1.b273058,not,obscure,1878,1825,m,us,30109,0.288390355448,"Poston, Charles D.",Apache-land,,random,0
uc2.ark+=13960=t5fb55w84,rev,known,1878,1837,m,uk,28770,0.724032840657,"Swinburne, Algernon Charles,","Poems and ballads, second series",FR,"Norton, in-set",1
uc1.b4107944,rev,known,1896,1830,f,uk,57084,0.617553461932,"Rossetti, Christina Georgina,",New poems by Christina Rossetti,BM,"Norton, in-set",1
loc.ark+=13960=t13n30w9p,not,obscure,1917,1888,f,us,9111,0.47850785904,"Andrews, Edith Fargo.",Vagrant visions,,random,0
mdp.39015004731116,rev,known,1869,1812,m,uk,77598,0.501631004284,"Browning, Robert,",The ring and the book,FR,"Norton, in-set",1
uc2.ark+=13960=t8x926w5s,not,obscure,1872,1828,m,uk,21489,0.678809116794,"Sawyer, William Kingston,",The legend of Phyllis,,random,0
njp.32101068138765,rev,known,1844,1806,f,uk,37594,0.546578700839,"Browning, Elizabeth Barrett,",A drama of exile,WR,"Norton, in-set",1
loc.ark+=13960=t3320dh5b,not,obscure,1867,0,,,8828,0.483665296151,"[D'Arusmont, William E. Guthrie] [from old catalog]",The betrothed,,random,0
loc.ark+=13960=t3cz3pj65,not,obscure,1873,1820,m,us,6179,0.38269860434,"Case, Leonard,",Treasure trove;,,random,0
uva.x030800890,rev,known,1843,1798,m,uk,20470,0.453882359793,"Moir, D. M.",Domestic verses,BM,reviewed,1
loc.ark+=13960=t4zg76m6h,rev,known,1901,1869,m,us,17507,0.65156092074,"Moody, William Vaughn,",Poems,ATL,reviewed,1
njp.32101067172872,rev,known,1914,1886,m,uk,13705,0.655624405821,"Sassoon, Siegfried,",The old huntsman,PMV,"Norton, in-set",1
loc.ark+=13960=t10p1hx6j,rev,known,1916,1878,m,us,5755,0.55328173387,"Arensberg, Walter,",Idols,PMV,reviewed,1
loc.ark+=13960=t4xh06r18,not,known,1855,1836,m,us,12493,0.588764985242,"Winter, William,",Poems,,random,0
loc.ark+=13960=t7wm1th1h,not,obscure,1902,1819,m,us,14767,0.461709307792,"McClintick, William Trimble. [from old catalog]",Verses written during a busy lawyer's life,,random,0
mdp.39015063931565,rev,known,1845,1813,m,us,17984,0.557214430093,"Hirst, Henry Beck,",The coming of the mammoth,GrM,reviewed,1
uc1.b182952,rev,known,1838,1745,m,uk,52110,0.465100609826,"Morris, Charles,",Lyra urbanica;,BM,reviewed,1
uc2.ark+=13960=t7kp7vd46,not,obscure,1878,1850,m,us,46793,0.303341509885,"Brunton, William,",Daisies,,random,0
mdp.39015048398518,rev,known,1868,1801,m,uk,39897,0.412102161546,"Newman, John Henry,",Verses on various occasions,BM,"Norton, in-set",1
uc2.ark+=13960=t05x2b429,not,obscure,1821,0,f,uk,30542,0.293771794911,"Garrington, Eliza.",Spiritual recreations in the chamber of affliction,,random,0
mdp.39015063947066,not,obscure,1887,1855,m,us,7385,0.273488846793,"O'Hagan, Thomas,",A gate of flowers,,random,0
uc2.ark+=13960=t9h41kd1k,rev,known,1900,1825,f,us,10421,0.515003170935,"Dorr, Julia C. R.",Afterglow;,ATL,reviewed,1
uc2.ark+=13960=t6736rz12,rev,known,1855,1824,m,uk,26193,0.515595459911,"Allingham, William,",Day and night songs; and The music-master,ER,reviewed,1
nyp.33433082171996,not,obscure,1880,1836,m,us,37809,0.33993556163,"Goddard, Sextus P.","Buds, briars and berries",,random,0
uc2.ark+=13960=t80k27j8j,rev,known,1917,1888,m,us,4392,0.576801038058,"Eliot, T. S.",Prufrock and other observations,EGO,"Norton, in-set",1
loc.ark+=13960=t84j0zq4p,not,obscure,1855,1809,m,us,8858,0.366599860429,"Clark, George Hunt,",Now and then,,random,0
loc.ark+=13960=t6m046h55,not,obscure,1867,0,,,1252,0.374465255452,"[Cameron, Hugh]",The troublesome trio,,random,0
