volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
loc.ark+=13960=t4nk3w12z,rev,known,1886,1855,m,us,24523,0.79389338013,"Adams, Oscar Fay,",Post-laureate idyls,ATL,reviewed,1
uc2.ark+=13960=t0tq5ww75,rev,known,1874,1803,m,uk,44904,0.753455284895,"Lytton, Edward Robert Bulwer Lytton,",Fables in song,FR,reviewed,1
uc2.ark+=13960=t9p26qv5r,rev,known,1872,1825,f,us,38354,0.5785862825,"Dorr, Julia C. R.",Poems,ATL,reviewed,1
nyp.33433075742266,rev,known,1883,1844,m,us,8610,0.742923127323,"Thompson, Maurice,",Songs of fair weather,ATL,reviewed,1
njp.32101068176153,rev,known,1886,1840,m,uk,50626,0.920096787159,"Carpenter, Henry Bernard,",Liber amoris,ATL,reviewed,1
uc1.32106001957635,rev,known,1872,1809,m,uk,14105,0.892161401092,"Tennyson, Alfred Tennyson,",Gareth and Lynette,FR,"Norton, in-set",1
mdp.39015046406727,rev,known,1899,1865,m,uk,7785,0.991236583385,"Yeats, W. B.",The wind among the reeds,FR,"Norton, in-set",1
uc1.b3345658,rev,obscure,1912,0,f,uk,23102,0.75685278629,"Sweeny, Mildred M' Neal.","Men of no land, and other poems",PMV,reviewed,1
loc.ark+=13960=t0sq9fz3z,rev,known,1843,1795,m,us,40749,0.366828421665,"Percival, James Gates,",Dream of a day,GrM,reviewed,1
uc2.ark+=13960=t1zc7s42g,rev,known,1887,1857,f,us,11670,0.934358862935,"Deland, Margaret Wade Campbell,",Old garden & other verses,ATL,reviewed,1
loc.ark+=13960=t5q81t975,rev,known,1841,1809,m,us,19855,0.433122106879,"Earle, Pliny",Marathon,GrM,reviewed,1
uc2.ark+=13960=t8cf9nt5b,not,obscure,1816,1771,m,uk,2437,0.313912068786,"Montgomery, James,","Verses to the memory of the late Richard Reynolds, of Bristol",,random,0
uc2.ark+=13960=t5h98zx14,rev,known,1912,1874,f,us,14251,0.82210626186,"Lowell, Amy,",A dome of many-colored glass,EGO,"Norton, in-set",1
nnc1.50196709,rev,known,1855,1815,m,uk,16716,0.574389610582,"Boner, Charles,",Cain,WR,reviewed,1
uc2.ark+=13960=t9c53mb7v,rev,known,1900,1869,m,uk,10294,0.675737101372,"Binyon, Laurence,",Odes,FR,reviewed,1
uc2.ark+=13960=t9280b957,rev,obscure,1865,0,,,44630,0.777893552769,"Prideaux, Fanny Ann.",Claudia,WR,reviewed,1
njp.32101068604063,rev,known,1885,1850,m,uk,9070,0.92487580554,"Stevenson, Robert Louis,",A child's garden of verses,FR,reviewed,1
loc.ark+=13960=t6n01p000,not,obscure,1886,1856,m,us,30556,0.142732379322,"Hale, William,",Shore life in song,,random,0
