# model_regularization_param, stain, our, daughters, until, throng, moments, oft, wondrous, greet, winning, strand, son, we'll, mock, raging, western, sighed, waved, nought, magic, ills, true, plan, saviour, mission, bold, command, conquer, band, steal, earthly, enough, brave, burns, hollow, grand, worlds, i'll, stricken, stir, pay, purest, tell, anxious, whereon, search, thick, red, finds, worn, eyes, against, tis, her, inward, him, half, black, smooth, toiled, turning, hers, whirl, goes, hid, age, trance, loving, change, brows, freed, visions, heavy, pomp, once, steeds, follows, graves, fresh, blowing, wrote, wooed, rose, countless, blew, re, whose, nature, wert, cold, round, nights, and, harsh, sign, hurrying, lest, sake, evil, what
10.00000 -0.03001 -0.00136 -0.03580 -0.00912 -0.01347 -0.02296 -0.00474 -0.01092 -0.01364 -0.03594 -0.01472 -0.00433 -0.00538 -0.01745 -0.01845 -0.01402 -0.01690 -0.01923 -0.00524 -0.00669 -0.01478 -0.00230 -0.00813 -0.00307 -0.01445 -0.00368 -0.00542 -0.01212 -0.00278 -0.00649 -0.00220 -0.00231 -0.00108 -0.00365 -0.00203 -0.00092 -0.00097 -0.00056 -0.00209 -0.00093 -0.00101 -0.00092 -0.00019 -0.00040 -0.00020  0.00035  0.00068  0.00060  0.00394  0.00329  0.00053  0.00162  0.00085  0.00014  0.00936  0.00052  0.00188  0.00272  0.00897  0.02158  0.01015  0.00939  0.01473  0.00470  0.00805  0.00388  0.01570  0.00489  0.00576  0.01300  0.02011  0.01008  0.00744  0.01171  0.00310  0.01563  0.02528  0.01484  0.00859  0.01749  0.02389  0.03244  0.00350  0.02361  0.02141  0.00734  0.00272  0.00420  0.01901  0.00576  0.00469  0.01760  0.00026  0.03678  0.02156  0.04225  0.01676  0.01916  0.01952  0.00290
 5.62341 -0.02988 -0.00135 -0.03533 -0.00916 -0.01357 -0.02322 -0.00472 -0.01095 -0.01368 -0.03597 -0.01489 -0.00433 -0.00534 -0.01750 -0.01874 -0.01386 -0.01676 -0.01942 -0.00516 -0.00686 -0.01498 -0.00223 -0.00810 -0.00288 -0.01468 -0.00380 -0.00547 -0.01195 -0.00268 -0.00649 -0.00230 -0.00212 -0.00107 -0.00387 -0.00167 -0.00090 -0.00066 -0.00064 -0.00246 -0.00076 -0.00118 -0.00102 -0.00027 -0.00038  0.00000  0.00030  0.00072  0.00058  0.00372  0.00328  0.00054  0.00157  0.00080  0.00015  0.00926  0.00054  0.00182  0.00278  0.00906  0.02137  0.01033  0.00952  0.01465  0.00478  0.00809  0.00383  0.01596  0.00438  0.00580  0.01326  0.01999  0.01010  0.00761  0.01167  0.00310  0.01535  0.02495  0.01452  0.00858  0.01744  0.02401  0.03270  0.00349  0.02325  0.02169  0.00725  0.00270  0.00426  0.01893  0.00579  0.00466  0.01784  0.00026  0.03689  0.02167  0.04242  0.01671  0.01934  0.01958  0.00292
 3.16228 -0.02969 -0.00132 -0.03454 -0.00923 -0.01374 -0.02365 -0.00469 -0.01100 -0.01377 -0.03599 -0.01512 -0.00434 -0.00527 -0.01755 -0.01920 -0.01359 -0.01652 -0.01973 -0.00502 -0.00716 -0.01531 -0.00210 -0.00803 -0.00261 -0.01507 -0.00398 -0.00559 -0.01163 -0.00250 -0.00653 -0.00242 -0.00175 -0.00107 -0.00420 -0.00103 -0.00089 -0.00011 -0.00078 -0.00310 -0.00044 -0.00147 -0.00111 -0.00039 -0.00038  0.00000  0.00018  0.00079  0.00054  0.00337  0.00326  0.00057  0.00148  0.00069  0.00016  0.00913  0.00057  0.00172  0.00286  0.00923  0.02102  0.01060  0.00973  0.01454  0.00490  0.00814  0.00375  0.01644  0.00352  0.00586  0.01365  0.01983  0.01011  0.00788  0.01160  0.00311  0.01493  0.02441  0.01403  0.00859  0.01735  0.02417  0.03305  0.00349  0.02265  0.02216  0.00708  0.00267  0.00435  0.01883  0.00583  0.00460  0.01820  0.00025  0.03708  0.02187  0.04270  0.01662  0.01964  0.01968  0.00293
 1.77828 -0.02933 -0.00129 -0.03334 -0.00933 -0.01397 -0.02407 -0.00469 -0.01108 -0.01393 -0.03626 -0.01545 -0.00432 -0.00514 -0.01770 -0.01982 -0.01339 -0.01610 -0.02014 -0.00476 -0.00758 -0.01562 -0.00195 -0.00774 -0.00220 -0.01571 -0.00422 -0.00586 -0.01119 -0.00225 -0.00648 -0.00265 -0.00110 -0.00109 -0.00452  0.00000 -0.00085  0.00000 -0.00097 -0.00406  0.00000 -0.00177 -0.00119 -0.00063 -0.00034  0.00019  0.00000  0.00089  0.00050  0.00295  0.00330  0.00063  0.00135  0.00050  0.00017  0.00910  0.00060  0.00156  0.00300  0.00943  0.02051  0.01096  0.01001  0.01411  0.00510  0.00815  0.00363  0.01738  0.00216  0.00592  0.01439  0.01950  0.01012  0.00826  0.01151  0.00313  0.01449  0.02369  0.01342  0.00866  0.01706  0.02418  0.03367  0.00351  0.02172  0.02265  0.00682  0.00263  0.00447  0.01874  0.00583  0.00450  0.01856  0.00024  0.03746  0.02214  0.04316  0.01647  0.02006  0.01988  0.00296
 1.00000 -0.02898 -0.00127 -0.03157 -0.00937 -0.01421 -0.02431 -0.00475 -0.01127 -0.01405 -0.03660 -0.01570 -0.00418 -0.00478 -0.01750 -0.02030 -0.01352 -0.01531 -0.02047 -0.00440 -0.00804 -0.01583 -0.00174 -0.00729 -0.00168 -0.01625 -0.00451 -0.00671 -0.01047 -0.00198 -0.00650 -0.00302  0.00000 -0.00111 -0.00439  0.00000 -0.00102  0.00000 -0.00143 -0.00500  0.00000 -0.00223 -0.00104 -0.00095 -0.00024  0.00112  0.00000  0.00127  0.00042  0.00241  0.00358  0.00071  0.00125  0.00017  0.00017  0.00933  0.00060  0.00148  0.00328  0.00975  0.01918  0.01121  0.01036  0.01317  0.00547  0.00815  0.00330  0.01894  0.00017  0.00610  0.01551  0.01935  0.00999  0.00875  0.01111  0.00311  0.01377  0.02314  0.01298  0.00873  0.01647  0.02373  0.03471  0.00358  0.02004  0.02309  0.00649  0.00257  0.00460  0.01876  0.00575  0.00439  0.01887  0.00023  0.03803  0.02258  0.04423  0.01632  0.02049  0.02009  0.00302
 0.56234 -0.02822 -0.00127 -0.02923 -0.00925 -0.01442 -0.02386 -0.00491 -0.01182 -0.01458 -0.03744 -0.01592 -0.00381 -0.00460 -0.01663 -0.02014 -0.01390 -0.01403 -0.02072 -0.00418 -0.00829 -0.01560 -0.00164 -0.00706 -0.00157 -0.01704 -0.00480 -0.00814 -0.00902 -0.00200 -0.00736 -0.00343  0.00000 -0.00117 -0.00412  0.00000 -0.00131  0.00000 -0.00191 -0.00527  0.00000 -0.00216 -0.00160 -0.00113 -0.00019  0.00266  0.00000  0.00193  0.00046  0.00152  0.00392  0.00070  0.00141  0.00000  0.00018  0.00974  0.00055  0.00175  0.00381  0.01054  0.01661  0.01143  0.01016  0.01115  0.00609  0.00775  0.00304  0.02014  0.00000  0.00651  0.01656  0.01917  0.00989  0.00901  0.01053  0.00308  0.01269  0.02255  0.01267  0.00920  0.01493  0.02269  0.03558  0.00360  0.01807  0.02369  0.00637  0.00258  0.00457  0.01883  0.00544  0.00430  0.01850  0.00022  0.03880  0.02318  0.04632  0.01620  0.02133  0.02054  0.00311
 0.31623 -0.02645 -0.00126 -0.02554 -0.00895 -0.01490 -0.02290 -0.00514 -0.01286 -0.01559 -0.03801 -0.01582 -0.00306 -0.00442 -0.01519 -0.01968 -0.01439 -0.01143 -0.02122 -0.00395 -0.00847 -0.01537 -0.00153 -0.00697 -0.00181 -0.01837 -0.00510 -0.01024 -0.00676 -0.00209 -0.00905 -0.00388  0.00000 -0.00135 -0.00334  0.00083 -0.00170  0.00000 -0.00275 -0.00544  0.00047 -0.00202 -0.00258 -0.00134 -0.00042  0.00471  0.00000  0.00286  0.00057  0.00000  0.00450  0.00076  0.00173  0.00000  0.00018  0.01050  0.00046  0.00221  0.00462  0.01203  0.01322  0.01165  0.00946  0.00914  0.00687  0.00685  0.00273  0.02143  0.00000  0.00723  0.01770  0.01826  0.00951  0.00938  0.00927  0.00308  0.01177  0.02234  0.01231  0.01018  0.01299  0.02115  0.03649  0.00362  0.01527  0.02392  0.00623  0.00268  0.00430  0.01889  0.00485  0.00422  0.01835  0.00021  0.03960  0.02410  0.05004  0.01573  0.02279  0.02116  0.00328
 0.17783 -0.02288 -0.00127 -0.01877 -0.00827 -0.01599 -0.02194 -0.00547 -0.01505 -0.01717 -0.03737 -0.01516 -0.00165 -0.00448 -0.01273 -0.01865 -0.01528 -0.00571 -0.02184 -0.00330 -0.00879 -0.01476 -0.00108 -0.00722 -0.00248 -0.02101 -0.00532 -0.01323 -0.00272 -0.00199 -0.01137 -0.00415  0.00000 -0.00173 -0.00094  0.00294 -0.00237  0.00000 -0.00428 -0.00475  0.00218 -0.00189 -0.00410 -0.00154 -0.00134  0.00787  0.00000  0.00465  0.00064  0.00000  0.00576  0.00108  0.00203 -0.00023  0.00017  0.01178  0.00029  0.00298  0.00584  0.01456  0.00855  0.01143  0.00841  0.00876  0.00787  0.00503  0.00218  0.02382 -0.00144  0.00853  0.01893  0.01408  0.00821  0.00988  0.00651  0.00296  0.01206  0.02311  0.01169  0.01177  0.01097  0.01986  0.03740  0.00377  0.01052  0.02315  0.00568  0.00286  0.00348  0.01916  0.00394  0.00422  0.01829  0.00021  0.04021  0.02605  0.05644  0.01496  0.02505  0.02200  0.00358
 0.10000 -0.01620 -0.00136 -0.00604 -0.00685 -0.01873 -0.02119 -0.00574 -0.01965 -0.02003 -0.03428 -0.01356  0.00000 -0.00571 -0.00757 -0.01707 -0.01545  0.00000 -0.02127 -0.00084 -0.00864 -0.01252 -0.00021 -0.00775 -0.00422 -0.02926 -0.00532 -0.01835  0.00000 -0.00064 -0.01391 -0.00428  0.00000 -0.00277  0.00000  0.00792 -0.00305  0.00000 -0.00749 -0.00155  0.00560 -0.00143 -0.00732 -0.00199 -0.00452  0.01598  0.00000  0.00683  0.00076  0.00000  0.00812  0.00190  0.00194 -0.00125  0.00011  0.01443  0.00000  0.00426  0.00771  0.01892  0.00033  0.00969  0.00814  0.00947  0.00890  0.00220  0.00096  0.02709 -0.00500  0.01107  0.02157  0.00095  0.00473  0.00993  0.00234  0.00268  0.01331  0.02532  0.00955  0.01430  0.00839  0.01923  0.03941  0.00394  0.00000  0.02017  0.00299  0.00303  0.00128  0.01941  0.00281  0.00428  0.01754  0.00022  0.04142  0.03024  0.06704  0.01311  0.02811  0.02318  0.00417
 0.05623  0.00000 -0.00145  0.00000 -0.00256 -0.02327 -0.01899 -0.00643 -0.02703 -0.02653 -0.02154 -0.00729  0.00000 -0.00571  0.00000 -0.01584 -0.00810  0.00000 -0.01037  0.00000 -0.00619 -0.00663 -0.00033 -0.01074 -0.00562 -0.05238 -0.00308 -0.02484  0.00000 -0.00137 -0.01359 -0.00597  0.00000 -0.00357  0.00000  0.02046 -0.00401  0.00000 -0.01352  0.00000  0.01243  0.00000 -0.01656 -0.00140 -0.01029  0.03115  0.00000  0.00794  0.00114  0.00000  0.00690  0.00426  0.00122 -0.00261  0.00000  0.01264  0.00000  0.00765  0.01130  0.02441  0.00000  0.00595  0.01086  0.00574  0.01003  0.00000  0.00000  0.02788 -0.00718  0.01207  0.02738  0.00000  0.00000  0.01088  0.00000  0.00242  0.00952  0.02488  0.00249  0.01552  0.00000  0.00858  0.03584  0.00387  0.00000  0.01362  0.00000  0.00216  0.00000  0.01758  0.00000  0.00335  0.01741  0.00027  0.04028  0.03546  0.08239  0.00898  0.03230  0.02047  0.00537
