volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
uc1.b165945,rev,known,1830,1807,m,uk,47528,0.724076251231,"Montgomery, Robert,","Satan, a poem",ER,reviewed,1
uc1.b3335683,rev,known,1912,1878,m,uk,8301,0.849052332821,"Gibson, Wilfrid Wilson,",Fires,FR,reviewed,1
inu.39000001277370,not,obscure,1853,1818,m,uk,38231,0.780066236958,"Hollingsworth, Alfred Johnstone,",The poetical works of the late Alfred Johnstone Hollingsworth,,random,1
nyp.33433074890983,rev,known,1912,1878,m,uk,33874,0.574316854289,"Masefield, John,",The story of a round-house,PMV,reviewed,1
njp.32101067707651,not,obscure,1874,1848,m,uk,4981,0.883911872058,"Beck, Edward Anthony,",The Holy sepulchre,,random,1
nyp.33433074899802,not,obscure,1833,1784,m,uk,22135,0.846313000418,"Kenyon, John,",Rhymed plea for tolerance,,random,1
nyp.33433074874185,rev,known,1839,1806,m,uk,31042,0.855093857803,"Sterling, John,",Poems,QR,reviewed,1
uc2.ark+=13960=t3kw57x2q,rev,known,1860,1794,m,us,1023,0.683671263832,"Bryant, William Cullen,",A forest hymn,ATL,"Norton, in-set",0
loc.ark+=13960=t2w38b121,not,obscure,1860,0,,,20274,0.669093750712,"Coutts, W. G. [from old catalog]",The games,,random,0
nyp.33433076031859,not,obscure,1897,1849,m,us,19147,0.432373635239,"Riley, James Whitcomb,",The poems and prose sketches of James Whitcomb Riley,,random,0
uc2.ark+=13960=t94748994,not,obscure,1917,1888,m,us,18319,0.238226920761,"Wood, Clement,",Glad of earth,,random,0
loc.ark+=13960=t8ff4k852,not,obscure,1866,1830,m,us,6137,0.137843987446,"Westlake, J. Willis",Success,,random,0
mdp.39015030719945,rev,known,1912,1884,f,us,19181,0.657011784708,"Widdemer, Margaret.","Factories, poems",PMV,reviewed,0
nyp.33433074802640,not,obscure,1897,1843,m,us,14570,0.288886125849,"Young, Claiborne Addison.",Way songs and wanderings,,random,0
uc2.ark+=13960=t4gm86m20,rev,known,1859,1814,m,uk,26310,0.697404931604,"Hedderwick, James,",Lays of Middle Age,WR,reviewed,1
njp.32101067172872,rev,known,1914,1886,m,uk,13705,0.628787830518,"Sassoon, Siegfried,",The old huntsman,PMV,"Norton, in-set",1
loc.ark+=13960=t0qr5g21z,not,obscure,1902,0,,,12024,0.173172483693,"Haswin, Frances Rosina. [from old catalog]",Some songs and verses,,random,0
njp.32101040128652,rev,known,1835,1801,m,uk,8427,0.788711304291,"Moxon, Edward,",Sonnets,QR,reviewed,1
njp.32101067628659,rev,known,1893,1860,m,uk,4361,0.646676140728,"Barlas, John Evelyn,",Selections from Songs of a bayadere and Songs of a troubadour,YB,reviewed,1
uc1.b3315153,rev,known,1875,1811,m,uk,42803,0.779978080321,"Scott, William Bell,",Poems,FR,reviewed,1
mdp.39015019808495,rev,known,1862,1828,m,uk,12224,0.753522500515,"Meredith, George,",Modern Love,WR,"Norton, in-set",1
uc2.ark+=13960=t05x2bh3q,not,obscure,1865,0,,,43754,0.642529984439,anonymous7,Wermigey; or The weir amid the water,,random,0
nyp.33433074846860,rev,known,1849,1812,m,uk,39755,0.779726369254,"Browning, Robert,",Poems,GrM,"Norton, in-set",1
mdp.39015048398518,rev,known,1868,1801,m,uk,39897,0.701979826356,"Newman, John Henry,",Verses on various occasions,BM,"Norton, in-set",1
mdp.39015071556941,not,obscure,1877,0,f,us,9919,0.193828375404,"King, Delia Chase",The tidal wave,,random,0
hardywessexpoems1898,addedbecausecanon,known,1898,1840,m,uk,15001,0.714615057104,"Hardy, Thomas",Wessex Poems,,"Norton, added",0
uc1.b167385,rev,known,1896,1871,f,uk,21956,0.812833903633,"Chesson, Nora,",Under quicken boughs,FR,reviewed,1
loc.ark+=13960=t9g458b15,not,obscure,1915,1855,f,us,1251,0.565445756024,"Ferris, Mary Lanman Douw ""Mrs. Morris P. Ferris,"",",A legend of New Year eve,,random,0
loc.ark+=13960=t3xs6b07q,not,obscure,1894,1851,f,us,3774,0.0397458706552,"Choate, Clara Elizabeth. [from old catalog]",Songs of truth,,random,0
uc2.ark+=13960=t6qz27440,rev,obscure,1866,0,,,27889,0.340956070755,"Butchers, S. M.",A waif on the stream,WR,reviewed,0
njp.32101063702987,not,obscure,1881,1820,m,us,9700,0.292832078602,"Randolph, Anson D. F.",Easter chimes,,random,0
njp.32101068972841,not,obscure,1863,0,f,uk,17313,0.324422881797,"Law, Isabella.",Winter weavings,,random,1
nyp.33433075835557,not,obscure,1864,1829,m,us,100010,0.42587889422,"Halpine, Charles G.",Poetical works of Charles G. Halpine (Miles O'Reilly),,random,0
uc1.b167500,rev,known,1855,1816,m,uk,30552,0.682463797524,"Bailey, Philip James,",The mystic and other poems,ER,reviewed,1
uc2.ark+=13960=t06w96n8w,rev,known,1871,1836,m,us,13548,0.451227285866,"Winter, William,",My witness,ATL,reviewed,0
loc.ark+=13960=t41r7d74g,rev,known,1881,1848,m,uk,40511,0.874362973173,"Rossetti, Dante Gabriel,",Ballads and sonnets,MM,"Norton, in-set",1
nyp.33433066626338,not,obscure,1870,1825,m,us,39729,0.132154998261,"Nash, Gilbert,",Bay leaves,,random,0
mdp.39015023542395,rev,known,1840,1762,f,uk,54405,0.72269652307,"Baillie, Joanna,",Fugitive verses,QR,"Norton, in-set",1
loc.ark+=13960=t3805w074,rev,known,1880,0,f,,27179,0.282863768674,"Backus, Elizabeth Welch.",Three friends' fancies,ATL,reviewed,0
loc.ark+=13960=t4pk0vn19,rev,known,1913,1874,m,us,6217,0.428635266871,"Frost, Robert,",A boy's will,PMV,"Norton, in-set",0
uc1.b173242,rev,known,1825,1793,f,uk,35606,0.675498566615,"Hemans,",The forest sanctuary,ER,"Norton, in-set",1
nnc1.1002356570,not,obscure,1871,0,,uk,3162,0.45107060012,anonymous5,"Verses for the people, suitable to the times, by an Englishman",,random,1
njp.32101074868017,not,obscure,1839,1807,m,us,15325,0.281909394277,"Pratt, Parley P.",The millennium and other poems,,random,0
uc2.ark+=13960=t3fx7491s,not,obscure,1881,0,m,,23945,0.324780846791,"Knowles, William,",Poems,,random,0
loc.ark+=13960=t01z4v628,not,obscure,1916,0,m,,12126,0.107168119902,"Havener, William Alexander.",Evening pastimes,,random,0
uc1.b119720,not,obscure,1875,1829,m,uk,28388,0.601647552059,"Veitch, John,","The Tweed, and Other Poems",,random,1
uc2.ark+=13960=t7pn9060k,rev,known,1896,1867,m,uk,17607,0.712219140319,"Dowson, Ernest Christopher,",The poems of Ernest Dowson,SAV,"Norton, in-set",1
loc.ark+=13960=t57d3p237,not,obscure,1893,1828,f,us,31649,0.386985315951,"Roberts, Betsey Ann Smith.",Original poems,,random,0
uc2.ark+=13960=t4cn74b90,rev,known,1861,1816,m,uk,41101,0.742628451225,"Maunsell, George Edmond.",Poems,WR,reviewed,1
loc.ark+=13960=t8sb4zz1q,addedbecausecanon,known,1921,1885,m,uk,3549,0.81558672584,"Lawrence, D. H.",Tortoises,,"Norton, added",0
