volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
njp.32101025285659,rev,known,1862,1819,m,uk,40898,0.478511293381,"Clough, Arthur Hugh,",Poems,BM,reviewed,1
nyp.33433066651120,not,obscure,1912,1871,m,us,13492,0.517188771172,"Lindsey, Frederick Brooks.",The spirit Prospero,,random,0
mdp.39015019808495,rev,known,1862,1828,m,uk,12224,0.495495038179,"Meredith, George,",Modern Love,WR,"Norton, in-set",1
loc.ark+=13960=t0qr5g21z,not,obscure,1902,0,,,12024,0.48362818545,"Haswin, Frances Rosina. [from old catalog]",Some songs and verses,,random,0
loc.ark+=13960=t5w671s6k,not,obscure,1861,1835,f,us,42642,0.380429023871,"Jones, Amanda Theodocia,","Ulah, and other poems",,random,0
nyp.33433076026503,rev,known,1875,1813,m,us,50962,0.3875911859,"Cranch, Christopher Pearse,",The bird and the bell,ATL,reviewed,1
loc.ark+=13960=t3zs39k35,not,obscure,1889,1849,m,us,4309,0.0370057274265,"Crosby, Powell R. [from old catalog]","Po Crosby's Labor odes, containing twenty-five beautiful odes",,random,0
loc.ark+=13960=t3st8fg8k,rev,known,1912,1878,f,us,10245,0.644195684476,"Burr, Amelia Josephine,",The roadside fire,PMV,reviewed,1
nyp.33433076035355,not,obscure,1842,1809,f,us,44191,0.19735028909,"Scott, Julia H. Kinney,",Poems,,random,0
mdp.39015008529144,not,obscure,1915,1887,m,uk,23770,0.80997270299,"Brooke, Rupert,",The collected poems of Rupert Brooke,,"Norton, in-set",0
uc1.b166346,not,obscure,1837,1752,m,uk,39479,0.254246729397,"Llwyd, Richard,","The poetical works of Richard Llwyd, the Bard of Snowdon",,random,0
loc.ark+=13960=t5fb5nd8n,not,obscure,1887,1819,m,us,94887,0.206768611864,"Paxton, W. M.",Poems,,random,0
uc2.ark+=13960=t1zc7s42g,rev,known,1887,1857,f,us,11670,0.558973408592,"Deland, Margaret Wade Campbell,",Old garden & other verses,ATL,reviewed,1
njp.32101032484253,not,obscure,1865,1844,m,us,4322,0.205913114367,"Birdseye, George W.,",Woman and the war,,random,0
